2024-05-21 00:13:01,438 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,439 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,439 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,502 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1048e-01, 1.0544e-04, 6.7704e-01, 3.6350e-01])
2024-05-21 00:13:01,503 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,504 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,504 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,564 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1061e-01, 8.1412e-05, 6.7732e-01, 3.6334e-01])
2024-05-21 00:13:01,565 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,566 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,566 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,628 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1075e-01, 7.2193e-05, 6.7791e-01, 3.6322e-01])
2024-05-21 00:13:01,629 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,630 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,630 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,704 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1062e-01, 6.3324e-05, 6.7837e-01, 3.6352e-01])
2024-05-21 00:13:01,705 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,706 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,706 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,709 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5067, 0.0561, 0.5595, 0.2262])
2024-05-21 00:13:01,710 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,710 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,710 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,790 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1062e-01, 5.8969e-05, 6.7850e-01, 3.6331e-01])
2024-05-21 00:13:01,790 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,791 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,791 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,794 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5068, 0.0562, 0.5605, 0.2279])
2024-05-21 00:13:01,794 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,795 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,795 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,884 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1070e-01, 5.1816e-05, 6.7848e-01, 3.6306e-01])
2024-05-21 00:13:01,885 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,886 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,887 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,889 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5068, 0.0572, 0.5591, 0.2284])
2024-05-21 00:13:01,890 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,890 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,891 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:01,961 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1067e-01, 3.5826e-05, 6.7829e-01, 3.6301e-01])
2024-05-21 00:13:01,962 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,963 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:01,963 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
