2024-05-21 00:08:37,248 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,248 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:37,350 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3462e+02, 5.7632e-02, 4.3332e+02, 1.7451e+02])
2024-05-21 00:08:37,351 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,355 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,358 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:37,468 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3471e+02, 5.0613e-02, 4.3331e+02, 1.7448e+02])
2024-05-21 00:08:37,469 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,472 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,472 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:37,587 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3479e+02, 3.9078e-02, 4.3349e+02, 1.7440e+02])
2024-05-21 00:08:37,588 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,592 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,593 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:37,696 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3488e+02, 3.4653e-02, 4.3387e+02, 1.7435e+02])
2024-05-21 00:08:37,697 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,701 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,703 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:37,813 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3480e+02, 3.0396e-02, 4.3416e+02, 1.7449e+02])
2024-05-21 00:08:37,813 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,817 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,819 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:08:37,824 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([324.3083,  26.9202, 358.0544, 108.5965])
2024-05-21 00:08:37,824 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,824 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:08:37,825 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
