2024-05-21 00:11:15,931 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:11:17,737 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:11:17,794 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:11:21,329 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.0946e-01, 1.3755e-04, 6.7762e-01, 3.6324e-01])
2024-05-21 00:11:21,329 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,330 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,332 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,339 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5049, 0.0582, 0.5486, 0.2248])
2024-05-21 00:11:21,341 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,342 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,344 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,519 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.0966e-01, 1.2859e-04, 6.7750e-01, 3.6332e-01])
2024-05-21 00:11:21,519 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,520 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,521 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,529 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5049, 0.0585, 0.5507, 0.2255])
2024-05-21 00:11:21,531 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,532 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,533 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,619 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1022e-01, 1.4003e-04, 6.7755e-01, 3.6332e-01])
2024-05-21 00:11:21,619 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,620 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,621 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,624 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5043, 0.0583, 0.5505, 0.2257])
2024-05-21 00:11:21,625 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,625 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,626 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,696 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1027e-01, 1.1409e-04, 6.7739e-01, 3.6343e-01])
2024-05-21 00:11:21,697 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,698 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,698 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,701 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5056, 0.0638, 0.5495, 0.2253])
2024-05-21 00:11:21,701 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,702 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,702 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,774 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1022e-01, 1.2074e-04, 6.7743e-01, 3.6350e-01])
2024-05-21 00:11:21,775 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,776 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,776 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:11:21,779 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5056, 0.0689, 0.5496, 0.2254])
2024-05-21 00:11:21,780 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:11:21,780 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
