2024-05-21 00:38:11,618 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,619 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,620 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:11,702 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3471e+02, 5.0613e-02, 4.3331e+02, 1.7448e+02])
2024-05-21 00:38:11,709 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,713 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,715 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:11,777 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3479e+02, 3.9078e-02, 4.3349e+02, 1.7440e+02])
2024-05-21 00:38:11,782 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,786 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,788 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:11,857 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3488e+02, 3.4653e-02, 4.3387e+02, 1.7435e+02])
2024-05-21 00:38:11,860 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,861 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,862 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:11,930 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3480e+02, 3.0396e-02, 4.3416e+02, 1.7449e+02])
2024-05-21 00:38:11,932 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,933 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,934 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:38:11,935 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([324.3083,  26.9202, 358.0544, 108.5965])
2024-05-21 00:38:11,938 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,938 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:38:11,939 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
