2024-05-21 00:13:49,724 - ObjectDetectionLogger - INFO - Model path: models/yolov8s.pt
2024-05-21 00:13:51,473 - ObjectDetectionLogger - INFO - Model loaded. Cuda available: True
2024-05-21 00:13:51,557 - ObjectDetectionLogger - INFO - Region of interest points loaded successfully. Num points: 5
2024-05-21 00:13:55,121 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3406e+02, 6.6025e-02, 4.3368e+02, 1.7435e+02])
2024-05-21 00:13:55,122 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,123 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,124 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:55,126 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1232,  27.9568, 351.0775, 107.9200])
2024-05-21 00:13:55,126 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,127 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,128 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:55,346 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3418e+02, 6.1722e-02, 4.3360e+02, 1.7439e+02])
2024-05-21 00:13:55,346 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,348 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,348 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:55,350 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([323.1425,  28.0764, 352.4574, 108.2202])
2024-05-21 00:13:55,350 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,350 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:55,351 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:55,430 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([1.3454e+02, 6.7215e-02, 4.3363e+02, 1.7440e+02])
